fecha,avg_monthly_price
1995-07-10,1.5353055555555557
1995-08-10,7.086462365591397
1995-09-10,10.955819444444444
1995-10-10,10.445442204301076
1995-11-10,27.534781944444443
1995-12-10,68.87623387096774
1996-01-10,22.81407407407407
1996-02-10,8.044093390804598
1996-03-10,3.460622311827957
1996-04-10,3.040025
1996-05-10,1.8098521505376344
1996-06-10,1.8891361111111111
1996-07-10,1.6492661290322579
1996-08-10,3.7170040322580644
1996-09-10,15.894113888888889
1996-10-10,5.523818548387096
1996-11-10,20.601340277777776
1996-12-10,14.479208333333334
1997-01-10,21.6234326344086
1997-02-10,26.916225595238096
1997-03-10,25.70582172043011
1997-04-10,25.252256111111112
1997-05-10,35.462962258064515
1997-06-10,33.35615083333333
1997-07-10,31.958212809139784
1997-08-10,38.467690215053764
1997-09-10,138.9860625
1997-10-10,137.12781997311828
1997-11-10,132.43517081944444
1997-12-10,128.86919086021507
1998-01-10,132.44954873873874
1998-02-10,148.7786617857143
1998-03-10,91.39436107526882
1998-04-10,55.431136388888895
1998-05-10,25.777461075268818
1998-06-10,18.275234444444443
1998-07-10,17.998918709677422
1998-08-10,20.6674473655914
1998-09-10,22.561658333333334
1998-10-10,23.389373763440858
1998-11-10,24.078219166666667
1998-12-10,23.537611347517732
1999-01-10,24.921644892473115
1999-02-10,24.832715654761905
1999-03-10,21.4947235483871
1999-04-10,23.386472500000004
1999-05-10,25.8111411827957
1999-06-10,27.8439825
1999-07-10,28.750234086021507
1999-08-10,31.469544623655914
1999-09-10,33.355602222222224
1999-10-10,32.2285823655914
1999-11-10,31.78928861111111
1999-12-10,31.809347875000004
2000-01-10,36.778779935483875
2000-02-10,40.2614768275862
2000-03-10,37.63729737634409
2000-04-10,44.298057444444446
2000-05-10,37.291121849462364
2000-06-10,39.993202763888895
2000-07-10,42.80114080645161
2000-08-10,49.070172247311824
2000-09-10,59.53525166666667
2000-10-10,48.420788247311826
2000-11-10,45.39779070833333
2000-12-10,55.4097891827957
2001-01-10,70.60665351612903
2001-02-10,86.04176400000001
2001-03-10,70.62400477419355
2001-04-10,67.14124172222223
2001-05-10,50.005437161290324
2001-06-10,43.025278
2001-07-10,39.87171288172043
2001-08-10,38.966227118279576
2001-09-10,45.30853116666666
2001-10-10,46.792364408602154
2001-11-10,38.96203355555555
2001-12-10,35.054972494623655
2002-01-10,38.70992283870967
2002-02-10,56.64558720238095
2002-03-10,52.86998496774193
2002-04-10,48.44514172222223
2002-05-10,39.42040721505376
2002-06-10,35.13288577777778
2002-07-10,42.15307365591398
2002-08-10,45.40600548387097
2002-09-10,49.05839005555556
2002-10-10,60.21958511827957
2002-11-10,53.04030677777778
2002-12-10,64.10013347311828
2003-01-10,69.11900180645162
2003-02-10,71.96138294047618
2003-03-10,76.83774978494623
2003-04-10,80.11864622222221
2003-05-10,69.47551355913978
2003-06-10,64.70255361111111
2003-07-10,69.925157172043
2003-08-10,65.20440784946237
2003-09-10,62.492898833333335
2003-10-10,55.494086784946234
2003-11-10,63.667327722222225
2003-12-10,52.34639415053764
2004-01-10,58.876875677419356
2004-02-10,70.4008157586207
2004-03-10,73.14546574193548
2004-04-10,70.654513
2004-05-10,72.1258062688172
2004-06-10,51.34673188888889
2004-07-10,52.835930720430106
2004-08-10,53.984546225806454
2004-09-10,60.11169638888889
2004-10-10,71.7728397311828
2004-11-10,67.38508438888888
2004-12-10,67.57161937634409
2005-01-10,82.78205547311829
2005-02-10,73.8643782857143
2005-03-10,69.21760983870966
2005-04-10,68.32830544444444
2005-05-10,69.39889759139785
2005-06-10,59.05737277777778
2005-07-10,77.80062675268817
2005-08-10,85.8283337311828
2005-09-10,87.75673088888888
2005-10-10,81.21681419354839
2005-11-10,56.201273944444445
2005-12-10,79.969531172043
2006-01-10,79.02648719354838
2006-02-10,75.52091904761905
2006-03-10,65.78744762365592
2006-04-10,54.01196816666666
2006-05-10,53.73773859139785
2006-06-10,52.98562105555556
2006-07-10,59.316402946236565
2006-08-10,66.53275446236559
2006-09-10,103.44861244444445
2006-10-10,130.51170156989247
2006-11-10,80.43596811111111
2006-12-10,64.23784768817204
2007-01-10,87.22128389907408
2007-02-10,106.98867625
2007-03-10,100.7919055376344
2007-04-10,91.82196516666666
2007-05-10,74.92841674193548
2007-06-10,75.86059083333333
2007-07-10,80.26138731182796
2007-08-10,85.2133392688172
2007-09-10,74.03187861111111
2007-10-10,80.52224479569892
2007-11-10,62.60941055555555
2007-12-10,85.05587180645162
2008-01-10,95.3144880860215
2008-02-10,100.63301501149425
2008-03-10,89.54313483870968
2008-04-10,102.94095199722223
2008-05-10,96.52427075268817
2008-06-10,76.02115527777778
2008-07-10,62.64224702150538
2008-08-10,73.09718620430107
2008-09-10,80.7259062611111
2008-10-10,82.866759
2008-11-10,87.22603255555556
2008-12-10,107.64402849462365
2009-01-10,133.18047024731183
2009-02-10,122.25375114285714
2009-03-10,108.17769748387096
2009-04-10,88.94394527777779
2009-05-10,118.08310166666666
2009-06-10,125.58334211111111
2009-07-10,125.5168734516129
2009-08-10,127.68792277419354
2009-09-10,182.50950049999997
2009-10-10,189.93442636559138
2009-11-10,152.5286312888889
2009-12-10,189.89753515538192
2010-01-10,152.25787558064516
2010-02-10,195.59115854761905
2010-03-10,189.981887
2010-04-10,195.5365247
2010-05-10,150.3243332580645
2010-06-10,91.33092138888888
2010-07-10,82.94435402150538
2010-08-10,84.85816305376343
2010-09-10,112.30941277777778
2010-10-10,136.5222227204301
2010-11-10,92.01793782222222
2010-12-10,66.69853210752687
2011-01-10,89.4705183655914
