1995-08-15,1.074,1.074,1.074,1.074,1.074,17.5,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,23.3,20.0,20.0,1.074,1.074,,,
1995-08-16,1.074,1.074,1.074,1.074,1.074,8.0,12.0,8.0,12.0,15.0,17.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,15.0,20.0,15.0,15.0,8.0,1.074,,,
1995-08-17,1.0,1.0,1.0,1.0,1.074,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.074,1.074,1.074,1.074,1.074,2.0,8.0,2.0,2.0,2.0,1.074,,,
1995-08-18,1.075,1.075,1.075,1.075,1.075,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.075,1.075,2.0,2.0,2.0,8.0,2.0,2.0,2.0,1.075,,,
1995-08-19,1.0,1.0,1.0,1.0,1.074,1.074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.074,1.0,1.0,1.0,1.0,1.0,1.074,1.074,1.074,2.0,2.0,,,
1995-08-20,2.0,2.0,2.0,2.0,2.0,2.0,1.073,1.08,1.08,3.0,3.0,2.5,3.0,2.5,1.0,1.0,1.0,1.0,3.1,3.1,3.1,3.1,2.0,2.0,,,
1995-08-21,2.0,2.0,2.0,2.0,2.0,2.0,0.99,0.99,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.074,1.074,1.074,1.08,2.0,1.08,1.08,2.0,2.0,,,
1995-08-22,0.4,0.4,0.4,0.4,0.4,1.0,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.0,0.4,,,
1995-08-23,1.0,1.0,1.0,1.0,1.074,1.074,1.0,1.0,1.0,1.074,1.074,1.074,1.0,1.0,0.4,0.4,0.4,0.4,1.074,8.4,1.074,1.0,1.074,1.074,,,
1995-08-24,1.0,1.0,1.0,1.0,1.072,1.074,1.072,1.072,1.074,1.072,1.074,1.074,1.072,1.072,1.072,1.072,1.072,0.4,1.075,10.0,1.075,1.072,1.074,1.074,,,
1995-08-25,1.074,1.0,1.0,1.0,1.074,1.075,1.076,2.0,1.076,2.0,1.076,1.076,1.076,1.075,1.075,1.075,1.075,1.075,2.5,8.4,2.0,1.076,1.075,1.074,,,
1995-08-26,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.075,1.075,1.075,1.075,1.074,1.074,1.074,1.074,1.074,1.075,2.5,1.076,1.075,1.076,1.074,,,
1995-08-27,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.074,1.074,1.075,1.075,1.075,1.075,1.075,1.074,,,
1995-08-28,1.074,1.074,1.074,1.074,1.074,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.075,1.074,1.074,1.074,1.074,1.075,1.075,10.0,1.075,1.5,1.075,1.074,,,
1995-08-29,1.073,1.073,1.073,1.073,1.073,1.074,1.5,1.074,1.074,1.074,1.074,1.074,1.074,1.073,1.073,1.073,1.073,1.073,8.4,10.0,1.5,1.5,1.074,1.073,,,
1995-08-30,1.074,1.074,1.074,1.074,1.074,1.074,1.5,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,8.4,10.0,1.6,1.5,1.074,1.074,,,
1995-08-31,1.074,1.074,1.074,1.074,1.074,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,14.536,1.2,1.2,1.074,1.074,,,
1995-09-01,1.2,1.2,1.15,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,14.665,1.2,1.2,1.2,1.2,,,
1995-09-02,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,8.4,2.5,2.5,8.4,8.4,1.5,1.5,1.5,1.5,1.2,2.5,24.4,2.5,1.5,1.5,1.2,,,
1995-09-03,1.5,1.5,1.5,1.5,1.5,1.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,1.5,1.5,1.5,1.5,2.5,8.4,2.5,2.5,2.5,1.5,,,
1995-09-04,5.0,5.0,5.0,5.0,5.0,5.0,8.5,8.5,8.5,8.5,12.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,40.572,40.572,8.5,8.5,5.0,5.0,,,
1995-09-05,8.5,8.5,8.5,8.5,8.5,8.5,15.0,15.0,15.0,8.5,8.5,15.0,8.5,15.0,15.0,15.0,15.0,8.5,15.5,16.0,15.5,15.0,15.0,8.5,,,
1995-09-06,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,15.0,14.5,14.5,15.0,15.0,15.0,14.5,22.0,22.0,15.0,14.5,15.0,14.5,,,
1995-09-07,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,,,
1995-09-08,14.9,14.9,14.9,14.9,14.9,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,14.9,,,
1995-09-09,14.9,14.9,14.9,14.9,14.9,14.9,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.9,,,
1995-09-10,14.9,14.9,14.9,14.9,14.9,14.9,14.9,14.9,15.0,15.0,14.9,15.0,15.0,14.9,14.9,14.9,14.9,14.9,15.0,15.0,15.0,15.0,14.9,14.9,,,
1995-09-11,14.536,14.0,14.0,14.0,14.9,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,14.9,14.9,,,
1995-09-12,1.074,1.074,1.074,1.074,1.074,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,1.074,,,
1995-09-13,7.07,7.07,7.07,7.07,7.07,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.3,7.07,,,
1995-09-14,1.08,1.08,1.08,1.08,1.08,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,14.4,1.08,,,
1995-09-15,1.074,1.074,1.074,1.074,1.074,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.074,,,
1995-09-16,1.074,1.074,1.074,1.074,1.074,1.074,1.074,15.0,15.0,15.0,15.0,15.0,15.0,14.3,1.074,1.074,1.074,14.0,15.0,15.0,15.0,15.0,14.3,1.074,,,
1995-09-17,1.074,1.073,1.073,1.073,1.073,1.073,1.074,1.074,10.0,12.0,10.0,12.0,10.0,1.074,1.074,1.074,1.074,1.074,15.0,15.0,15.0,15.0,1.074,1.074,,,
1995-09-18,1.074,1.074,1.074,1.074,1.074,8.0,10.0,10.0,10.0,12.0,12.0,14.4,10.0,10.0,10.0,10.0,10.0,14.0,15.0,15.0,15.0,10.0,1.074,1.074,,,
1995-09-19,8.4,8.4,8.4,8.4,8.4,10.0,12.0,12.0,10.0,14.3,14.536,15.0,10.0,10.0,10.0,10.0,10.0,15.0,14.0,14.0,10.0,15.0,10.0,8.4,,,
1995-09-20,10.0,10.0,10.0,10.0,10.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,12.0,,,
1995-09-21,1.075,1.075,1.075,1.075,1.075,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.075,,,
1995-09-22,1.075,1.075,1.075,1.075,1.075,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,1.075,,,
1995-09-23,1.075,1.075,1.075,1.075,1.075,1.075,14.3,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.4,12.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,1.075,,,
1995-09-24,1.074,1.074,1.074,1.073,1.074,1.074,1.074,1.074,14.665,14.0,1.074,14.0,15.0,1.074,1.074,1.074,1.074,14.0,15.0,15.0,15.0,15.0,1.074,1.074,,,
1995-09-25,1.073,1.073,1.073,1.073,1.074,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.074,1.074,,,
1995-09-26,1.074,1.074,1.074,1.074,1.074,14.4,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,14.0,1.074,,,
1995-09-27,1.074,1.074,1.074,1.073,1.073,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,9.89,1.074,,,
1995-09-28,1.073,1.073,1.073,1.073,1.073,14.4,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,1.074,,,
1995-09-29,1.074,1.073,1.073,1.073,1.074,14.3,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.665,1.074,,,
1995-09-30,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.4,14.3,14.0,14.3,14.0,15.0,15.0,15.0,15.0,15.0,15.0,,,
1995-10-01,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,14.0,14.536,14.4,14.665,15.0,9.89,1.074,1.074,1.074,1.074,15.0,15.0,15.0,15.0,1.074,1.074,,,
1995-10-02,1.074,1.074,1.074,1.074,1.074,14.0,15.0,15.0,15.0,14.0,14.3,15.0,15.0,15.0,15.0,15.0,15.0,14.4,21.0,21.0,15.0,15.0,15.0,1.074,,,
1995-10-03,1.075,1.074,1.074,1.074,1.074,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.5,15.0,15.0,21.0,21.0,15.0,15.0,14.0,13.95,,,
1995-10-04,14.0,14.0,1.074,14.0,14.0,14.0,14.0,14.0,14.4,14.0,14.4,14.0,14.0,14.0,14.0,14.0,14.0,14.0,21.5,21.0,14.0,14.0,14.0,1.074,,,
1995-10-05,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.4,14.0,14.4,14.9,14.0,14.5,14.0,14.0,14.4,14.0,33.7,21.0,14.0,14.0,14.0,14.0,,,
1995-10-06,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,15.0,15.0,15.0,14.5,,,
1995-10-07,16.0,16.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,16.0,17.0,20.0,17.0,17.0,16.0,16.0,,,
1995-10-08,16.0,16.0,16.0,16.0,16.0,16.0,14.0,14.5,17.0,17.0,17.0,17.0,17.0,17.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,14.0,,,
1995-10-09,16.0,16.0,16.0,16.0,16.0,16.0,21.0,21.0,21.0,21.0,23.0,21.0,19.0,19.0,19.0,19.0,19.0,19.0,27.0,27.0,21.0,19.0,16.0,16.0,,,
1995-10-10,10.0,1.5,10.0,10.0,10.0,18.456,21.0,21.0,23.0,21.0,21.0,21.0,21.0,21.0,16.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,10.0,10.0,,,
1995-10-11,11.0,11.0,11.0,11.0,11.5,18.456,24.0,25.651,26.0,20.0,26.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,12.284,11.0,,,
1995-10-12,1.072,1.072,1.072,1.072,1.072,1.074,13.0,11.6,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.074,1.072,,,
1995-10-13,0.0,0.0,0.0,0.0,0.5,0.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,9.0,30.0,16.811,10.0,10.0,0.5,0.5,,,
1995-10-14,0.5,0.5,0.5,0.5,0.5,0.5,1.07,1.073,1.075,1.075,1.075,1.075,1.074,1.074,0.6,0.6,0.6,1.073,13.612,13.5,1.075,1.074,0.6,0.5,,,
1995-10-15,1.074,1.073,1.073,1.073,1.073,1.073,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.074,1.075,1.075,1.074,1.074,1.074,1.073,,,
1995-10-16,1.073,1.073,1.073,1.073,1.073,1.073,1.074,1.074,1.075,1.075,1.075,1.075,1.075,1.074,1.073,1.073,1.073,1.075,2.0,2.0,2.0,1.075,1.074,1.074,,,
1995-10-17,1.075,1.075,1.075,1.075,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,14.806,14.806,2.0,2.0,2.0,2.0,,,
1995-10-18,1.074,1.074,1.074,1.074,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.5,14.0,13.5,5.0,2.0,2.0,1.074,,,
1995-10-19,1.074,1.074,1.074,1.074,2.0,4.5,8.574,8.574,8.574,8.574,8.574,8.574,5.0,7.5,7.5,7.5,8.574,8.574,14.806,14.0,8.574,7.5,2.0,1.074,,,
1995-10-20,8.574,8.574,8.574,8.574,8.574,10.0,10.0,10.0,10.0,10.0,8.574,9.0,8.574,8.574,8.574,8.574,8.574,8.574,14.0,15.322,9.0,9.0,9.5,8.574,,,
1995-10-21,8.574,8.574,8.574,8.0,8.574,8.574,8.574,9.0,9.0,8.574,8.574,8.574,9.0,8.574,8.574,8.574,8.574,8.574,12.4,10.0,8.574,9.0,8.574,8.574,,,
1995-10-22,1.074,1.074,1.074,1.074,1.074,1.074,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.5,9.0,9.0,9.0,9.0,1.074,,,
1995-10-23,1.073,1.073,1.073,1.073,1.074,7.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.5,15.322,13.6,9.0,9.0,7.0,1.074,,,
1995-10-24,1.073,1.073,1.073,1.073,1.074,5.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,7.0,21.0,17.672,7.0,7.0,7.0,1.073,,,
1995-10-25,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,25.6,16.642,7.0,7.0,7.0,5.0,,,
1995-10-26,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,12.0,7.0,7.0,7.0,7.0,7.0,7.0,25.6,16.642,7.0,10.0,7.0,7.0,,,
1995-10-27,16.0,16.0,16.0,16.0,16.547,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,20.0,20.0,20.0,18.0,20.0,18.0,,,
1995-10-28,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,16.547,15.0,15.0,15.0,15.0,16.547,20.0,20.0,20.0,20.0,20.0,15.0,,,
1995-10-29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.6,16.0,15.0,15.0,15.0,15.0,15.0,13.5,10.0,10.0,15.0,20.0,20.0,20.0,16.0,15.0,10.0,,,
1995-10-30,9.0,9.0,9.0,9.0,9.0,10.0,12.8,12.8,13.5,13.6,13.6,14.0,12.8,12.8,12.8,12.8,12.8,12.8,20.0,20.0,13.5,18.0,13.5,12.0,,,
1995-10-31,12.0,12.0,12.0,12.0,10.0,10.0,13.6,13.5,13.6,15.0,15.0,15.0,13.0,10.0,10.0,10.0,12.0,15.0,20.0,15.0,15.0,15.0,15.0,13.0,,,
1995-11-01,10.0,10.0,10.0,10.0,13.5,10.0,18.0,18.0,18.0,18.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,20.0,20.0,20.0,15.0,15.0,5.0,,,
1995-11-02,5.0,5.0,5.0,5.0,5.0,19.0,19.0,19.0,20.0,15.0,15.0,16.642,13.5,10.0,10.0,14.0,13.5,20.0,24.0,24.0,20.0,15.0,15.0,5.0,,,
1995-11-03,20.0,16.642,15.0,15.0,20.0,20.0,15.0,15.0,15.0,20.0,20.0,20.0,20.0,15.0,15.0,15.0,15.0,20.0,24.0,24.0,20.0,20.0,15.0,13.5,,,
1995-11-04,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,20.0,20.0,20.0,20.0,17.982,15.0,15.0,13.6,13.5,15.0,20.0,20.0,20.0,20.0,20.0,15.0,,,
1995-11-05,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,13.5,13.5,10.0,15.323,14.0,15.323,15.0,15.0,10.0,14.806,14.0,10.0,,,
1995-11-06,4.999,4.999,4.999,4.999,4.999,4.999,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,13.6,16.642,10.0,20.0,20.0,17.046,20.0,15.0,4.999,,,
1995-11-07,5.0,5.0,5.0,5.0,13.5,12.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,17.046,17.046,17.672,20.0,20.0,25.45,24.0,20.0,20.0,12.0,5.0,,,
1995-11-08,1.074,1.074,1.074,1.074,1.074,16.5,24.0,24.0,26.0,24.0,20.0,20.0,17.672,12.0,12.0,13.5,15.0,20.0,38.373,26.0,36.389,20.0,12.0,8.0,,,
1995-11-09,1.073,1.073,1.073,1.073,1.073,13.0,16.0,13.8,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,13.0,24.0,24.0,24.0,13.6,13.0,12.0,1.074,,,
